entity,entity code,date,series,generation_TWh
Argentina,ARG,01/08/2020,Hydro,2.64
Argentina,ARG,01/08/2020,Nuclear,0.89
Argentina,ARG,01/08/2020,Other Fossil,0.15
Argentina,ARG,01/08/2020,Solar,0.09
Argentina,ARG,01/08/2020,Wind,0.93
Argentina,ARG,01/08/2020,Total Generation,10.98
Argentina,ARG,01/09/2020,Bioenergy,0.08
Argentina,ARG,01/09/2020,Coal,0.05
Argentina,ARG,01/09/2020,Gas,5.74
Argentina,ARG,01/09/2020,Hydro,2.53
Argentina,ARG,01/09/2020,Nuclear,0.88
Argentina,ARG,01/09/2020,Other Fossil,0.09
Argentina,ARG,01/09/2020,Solar,0.13
Argentina,ARG,01/09/2020,Wind,0.85
Argentina,ARG,01/09/2020,Total Generation,10.35
Argentina,ARG,01/10/2020,Bioenergy,0.08
Argentina,ARG,01/10/2020,Coal,0.0
Argentina,ARG,01/10/2020,Gas,6.43
Argentina,ARG,01/10/2020,Hydro,2.36
Argentina,ARG,01/10/2020,Nuclear,0.69
Argentina,ARG,01/10/2020,Other Fossil,0.08
Argentina,ARG,01/10/2020,Solar,0.15
Argentina,ARG,01/10/2020,Wind,0.91
Argentina,ARG,01/10/2020,Total Generation,10.7
Argentina,ARG,01/11/2020,Bioenergy,0.08
Argentina,ARG,01/11/2020,Coal,0.21
Argentina,ARG,01/11/2020,Gas,7.29
Argentina,ARG,01/11/2020,Hydro,2.11
Argentina,ARG,01/11/2020,Nuclear,0.68
Argentina,ARG,01/11/2020,Other Fossil,0.27
Argentina,ARG,01/11/2020,Solar,0.19
Argentina,ARG,01/11/2020,Wind,0.87
Argentina,ARG,01/11/2020,Total Generation,11.7
Argentina,ARG,01/12/2020,Bioenergy,0.08
Argentina,ARG,01/12/2020,Coal,0.37
Argentina,ARG,01/12/2020,Gas,7.78
Argentina,ARG,01/12/2020,Hydro,2.3
Argentina,ARG,01/12/2020,Nuclear,0.69
Argentina,ARG,01/12/2020,Other Fossil,0.28
Argentina,ARG,01/12/2020,Solar,0.22
Argentina,ARG,01/12/2020,Wind,1.02
Argentina,ARG,01/12/2020,Total Generation,12.74
Argentina,ARG,01/01/2021,Bioenergy,0.07
Argentina,ARG,01/01/2021,Coal,0.25
Argentina,ARG,01/01/2021,Gas,8.11
Argentina,ARG,01/01/2021,Hydro,2.26
Argentina,ARG,01/01/2021,Nuclear,0.68
Argentina,ARG,01/01/2021,Other Fossil,0.27
Argentina,ARG,01/01/2021,Solar,0.19
Argentina,ARG,01/01/2021,Wind,1.06
Argentina,ARG,01/01/2021,Total Generation,12.89
Argentina,ARG,01/02/2021,Bioenergy,0.07
Argentina,ARG,01/02/2021,Coal,0.03
Argentina,ARG,01/02/2021,Gas,6.53
Argentina,ARG,01/02/2021,Hydro,2.66
Argentina,ARG,01/02/2021,Nuclear,0.53
Argentina,ARG,01/02/2021,Other Fossil,0.12
Argentina,ARG,01/02/2021,Solar,0.17
Argentina,ARG,01/02/2021,Wind,0.83
Argentina,ARG,01/02/2021,Total Generation,10.94
Argentina,ARG,01/03/2021,Bioenergy,0.07
Argentina,ARG,01/03/2021,Coal,0.18
Argentina,ARG,01/03/2021,Gas,7.16
Argentina,ARG,01/03/2021,Hydro,2.12
Argentina,ARG,01/03/2021,Nuclear,0.71
Argentina,ARG,01/03/2021,Other Fossil,0.15
Argentina,ARG,01/03/2021,Solar,0.16
Argentina,ARG,01/03/2021,Wind,0.95
Argentina,ARG,01/03/2021,Total Generation,11.5
Argentina,ARG,01/04/2021,Bioenergy,0.07
Argentina,ARG,01/04/2021,Coal,0.26
Argentina,ARG,01/04/2021,Gas,6.37
Argentina,ARG,01/04/2021,Hydro,1.6
Argentina,ARG,01/04/2021,Nuclear,0.53
Argentina,ARG,01/04/2021,Other Fossil,0.2
Argentina,ARG,01/04/2021,Solar,0.15
Argentina,ARG,01/04/2021,Wind,0.96
Argentina,ARG,01/04/2021,Total Generation,10.14
Argentina,ARG,01/05/2021,Bioenergy,0.08
Argentina,ARG,01/05/2021,Coal,0.32
Argentina,ARG,01/05/2021,Gas,6.6
Argentina,ARG,01/05/2021,Hydro,2.13
Argentina,ARG,01/05/2021,Nuclear,0.72
Argentina,ARG,01/05/2021,Other Fossil,0.23
Argentina,ARG,01/05/2021,Solar,0.12
Argentina,ARG,01/05/2021,Wind,1.03
Argentina,ARG,01/05/2021,Total Generation,11.23
Argentina,ARG,01/06/2021,Bioenergy,0.11
Argentina,ARG,01/06/2021,Coal,0.27
Argentina,ARG,01/06/2021,Gas,7.73
Argentina,ARG,01/06/2021,Hydro,1.84
Argentina,ARG,01/06/2021,Nuclear,1.06
Argentina,ARG,01/06/2021,Other Fossil,0.26
Argentina,ARG,01/06/2021,Solar,0.11
Argentina,ARG,01/06/2021,Wind,1.12
Argentina,ARG,01/06/2021,Total Generation,12.5
Argentina,ARG,01/07/2021,Bioenergy,0.11
Argentina,ARG,01/07/2021,Coal,0.27
Argentina,ARG,01/07/2021,Gas,7.97
Argentina,ARG,01/07/2021,Hydro,1.88
Argentina,ARG,01/07/2021,Nuclear,1.1
Argentina,ARG,01/07/2021,Other Fossil,0.19
Argentina,ARG,01/07/2021,Solar,0.14
Argentina,ARG,01/07/2021,Wind,1.29
Argentina,ARG,01/07/2021,Total Generation,12.95
Argentina,ARG,01/08/2021,Bioenergy,0.12
Argentina,ARG,01/08/2021,Coal,0.26
Argentina,ARG,01/08/2021,Gas,8.11
Argentina,ARG,01/08/2021,Hydro,1.68
Argentina,ARG,01/08/2021,Nuclear,1.06
Argentina,ARG,01/08/2021,Other Fossil,0.15
Argentina,ARG,01/08/2021,Solar,0.17
Argentina,ARG,01/08/2021,Wind,1.21
Argentina,ARG,01/08/2021,Total Generation,12.76
Argentina,ARG,01/09/2021,Bioenergy,0.11
Argentina,ARG,01/09/2021,Coal,0.31
Argentina,ARG,01/09/2021,Gas,6.39
Argentina,ARG,01/09/2021,Hydro,2.34
Argentina,ARG,01/09/2021,Nuclear,0.78
Argentina,ARG,01/09/2021,Other Fossil,0.17
Argentina,ARG,01/09/2021,Solar,0.19
Argentina,ARG,01/09/2021,Wind,1.05
Argentina,ARG,01/09/2021,Total Generation,11.34
Argentina,ARG,01/10/2021,Bioenergy,0.11
Argentina,ARG,01/10/2021,Coal,0.14
Argentina,ARG,01/10/2021,Gas,5.89
Argentina,ARG,01/10/2021,Hydro,2.53
Argentina,ARG,01/10/2021,Nuclear,0.91
Argentina,ARG,01/10/2021,Other Fossil,0.13
Argentina,ARG,01/10/2021,Solar,0.27
Argentina,ARG,01/10/2021,Wind,1.23
Argentina,ARG,01/10/2021,Total Generation,11.21
Argentina,ARG,01/11/2021,Bioenergy,0.1
Argentina,ARG,01/11/2021,Coal,0.27
Argentina,ARG,01/11/2021,Gas,6.24
Argentina,ARG,01/11/2021,Hydro,2.18
Argentina,ARG,01/11/2021,Nuclear,1.06
Argentina,ARG,01/11/2021,Other Fossil,0.16
Argentina,ARG,01/11/2021,Solar,0.28
Argentina,ARG,01/11/2021,Wind,1.11
Argentina,ARG,01/11/2021,Total Generation,11.4
Argentina,ARG,01/12/2021,Bioenergy,0.09
Argentina,ARG,01/12/2021,Coal,0.24
Argentina,ARG,01/12/2021,Gas,7.86
Argentina,ARG,01/12/2021,Hydro,2.06
Argentina,ARG,01/12/2021,Nuclear,1.03
Argentina,ARG,01/12/2021,Other Fossil,0.28
Argentina,ARG,01/12/2021,Solar,0.25
Argentina,ARG,01/12/2021,Wind,1.11
Argentina,ARG,01/12/2021,Total Generation,12.92
Argentina,ARG,01/01/2022,Bioenergy,0.09
Argentina,ARG,01/01/2022,Coal,0.31
Argentina,ARG,01/01/2022,Gas,8.31
Argentina,ARG,01/01/2022,Hydro,2.09
Argentina,ARG,01/01/2022,Nuclear,0.98
Argentina,ARG,01/01/2022,Other Fossil,0.32
Argentina,ARG,01/01/2022,Solar,0.26
Argentina,ARG,01/01/2022,Wind,1.19
Argentina,ARG,01/01/2022,Total Generation,13.55
Argentina,ARG,01/02/2022,Bioenergy,0.09
Argentina,ARG,01/02/2022,Coal,0.25
Argentina,ARG,01/02/2022,Gas,6.75
Argentina,ARG,01/02/2022,Hydro,1.46
Argentina,ARG,01/02/2022,Nuclear,0.89
Argentina,ARG,01/02/2022,Other Fossil,0.18
Argentina,ARG,01/02/2022,Solar,0.25
Argentina,ARG,01/02/2022,Wind,1.05
Argentina,ARG,01/02/2022,Total Generation,10.92
Argentina,ARG,01/03/2022,Bioenergy,0.09
Argentina,ARG,01/03/2022,Coal,0.26
Argentina,ARG,01/03/2022,Gas,6.74
Argentina,ARG,01/03/2022,Hydro,1.72
Argentina,ARG,01/03/2022,Nuclear,0.75
Argentina,ARG,01/03/2022,Other Fossil,0.17
Argentina,ARG,01/03/2022,Solar,0.26
Argentina,ARG,01/03/2022,Wind,1.27
Argentina,ARG,01/03/2022,Total Generation,11.26
Argentina,ARG,01/04/2022,Bioenergy,0.09
Argentina,ARG,01/04/2022,Coal,0.28
Argentina,ARG,01/04/2022,Gas,5.57
Argentina,ARG,01/04/2022,Hydro,2.26
Argentina,ARG,01/04/2022,Nuclear,0.66
Argentina,ARG,01/04/2022,Other Fossil,0.14
Argentina,ARG,01/04/2022,Solar,0.23
Argentina,ARG,01/04/2022,Wind,1.22
