Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,3.67,1.21,49.19
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.71,0.68,66.02
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.02,-0.01,-33.33
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,13.35,-0.37,-2.7
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,2.24,-0.41,-15.47
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.94,0.54,38.57
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.57,0.13,29.55
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.14,0.55,93.22
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,19.26,0.43,2.28
Australia,AUS,01/06/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity demand,Demand,Demand,TWh,19.75,0.28,1.44
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Clean,TWh,4.3,1.05,32.31
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Fossil,TWh,15.45,-0.77,-4.75
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,1.89,-0.61,-24.4
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,1.86,0.37,24.83
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Renewables,TWh,4.3,1.05,32.31
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,2.44,0.68,38.64
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Bioenergy,TWh,0.04,-0.03,-42.86
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Coal,TWh,13.56,-0.16,-1.17
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Gas,TWh,1.89,-0.61,-24.4
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Hydro,TWh,1.82,0.4,28.17
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Other Fossil,TWh,0,0,
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Solar,TWh,0.69,0.38,122.58
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Fuel,Wind,TWh,1.75,0.3,20.69
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity generation,Total,Total Generation,TWh,19.75,0.28,1.44
Australia,AUS,01/07/2018,Country or economy,Oceania,Oceania,0,1,1,0,0,Electricity imports,Electricity imports,Net Imports,TWh,0,0,
