entity,entity code,date,series,generation_TWh
Australia,AUS,2019-11-01,Wind,1.81
Australia,AUS,2019-11-01,Total Generation,17.99
Australia,AUS,2019-11-01,Net Imports,0.0
Australia,AUS,2019-12-01,Demand,19.59
Australia,AUS,2019-12-01,Clean,5.02
Australia,AUS,2019-12-01,Fossil,14.57
Australia,AUS,2019-12-01,Gas and Other Fossil,1.77
Australia,AUS,2019-12-01,"Hydro, Bioenergy and Other Renewables",1.02
Australia,AUS,2019-12-01,Renewables,5.02
Australia,AUS,2019-12-01,Wind and Solar,4.0
Australia,AUS,2019-12-01,Bioenergy,0.03
Australia,AUS,2019-12-01,Coal,12.8
Australia,AUS,2019-12-01,Gas,1.77
Australia,AUS,2019-12-01,Hydro,0.99
Australia,AUS,2019-12-01,Other Fossil,0.0
Australia,AUS,2019-12-01,Solar,2.29
Australia,AUS,2019-12-01,Wind,1.71
Australia,AUS,2019-12-01,Total Generation,19.59
Australia,AUS,2019-12-01,Net Imports,0.0
Australia,AUS,2020-01-01,Demand,20.04
Australia,AUS,2020-01-01,Clean,4.76
Australia,AUS,2020-01-01,Fossil,15.28
Australia,AUS,2020-01-01,Gas and Other Fossil,1.98
Australia,AUS,2020-01-01,"Hydro, Bioenergy and Other Renewables",1.09
Australia,AUS,2020-01-01,Renewables,4.76
Australia,AUS,2020-01-01,Wind and Solar,3.67
Australia,AUS,2020-01-01,Bioenergy,0.02
Australia,AUS,2020-01-01,Coal,13.3
Australia,AUS,2020-01-01,Gas,1.98
Australia,AUS,2020-01-01,Hydro,1.07
Australia,AUS,2020-01-01,Other Fossil,0.0
Australia,AUS,2020-01-01,Solar,2.03
Australia,AUS,2020-01-01,Wind,1.64
Australia,AUS,2020-01-01,Total Generation,20.04
Australia,AUS,2020-01-01,Net Imports,0.0
Australia,AUS,2020-02-01,Demand,18.49
Australia,AUS,2020-02-01,Clean,4.22
Australia,AUS,2020-02-01,Fossil,14.27
Australia,AUS,2020-02-01,Gas and Other Fossil,2.14
Australia,AUS,2020-02-01,"Hydro, Bioenergy and Other Renewables",1.08
Australia,AUS,2020-02-01,Renewables,4.22
Australia,AUS,2020-02-01,Wind and Solar,3.14
Australia,AUS,2020-02-01,Bioenergy,0.03
Australia,AUS,2020-02-01,Coal,12.13
