entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2020-03","Hydro",false,2.95,14.93,30.08,-1.16,-28.22,-10.58,-11.83,8.93,15.92,91.05
"Viet Nam","VNM",false,"2020-03","Other fossil",false,0.39,1.97,3.98,0.39,,1.97,3.98,1.02,1.82,10.4
"Viet Nam","VNM",false,"2020-03","Solar",false,0.78,3.95,7.95,0.7,875,3.45,7.14,2.31,4.12,23.55
"Viet Nam","VNM",false,"2020-03","Total generation",true,19.76,100,201.47,3.65,22.66,0,37.21,56.08,100,571.78
"Viet Nam","VNM",false,"2020-03","Wind",false,0.13,0.66,1.33,0.13,,0.66,1.33,0.45,0.8,4.59
"Viet Nam","VNM",false,"2020-04","Coal",false,11.42,62.82,116.44,0.82,7.74,9.82,8.36,45.34,61.06,462.28
"Viet Nam","VNM",false,"2020-04","Gas",false,3.16,17.38,32.22,-0.72,-18.56,-2.02,-7.34,12.61,16.98,128.57
"Viet Nam","VNM",false,"2020-04","Hydro",false,2.67,14.69,27.22,-2.77,-50.92,-12.51,-28.24,11.6,15.62,118.27
"Viet Nam","VNM",false,"2020-04","Other fossil",false,0,0,0,0,,0,0,1.02,1.37,10.4
"Viet Nam","VNM",false,"2020-04","Solar",false,0.82,4.51,8.36,0.74,925,4.11,7.54,3.13,4.21,31.91
"Viet Nam","VNM",false,"2020-04","Total generation",true,18.18,100,185.36,-1.82,-9.1,0,-18.56,74.26,100,757.14
"Viet Nam","VNM",false,"2020-04","Wind",false,0.11,0.61,1.12,0.11,,0.61,1.12,0.56,0.75,5.71
"Viet Nam","VNM",false,"2020-05","Coal",false,12.76,60.42,130.1,1.58,14.13,6.82,16.11,58.1,60.91,592.38
"Viet Nam","VNM",false,"2020-05","Gas",false,3.33,15.77,33.95,-0.51,-13.28,-2.64,-5.2,15.94,16.71,162.52
"Viet Nam","VNM",false,"2020-05","Hydro",false,4.12,19.51,42.01,-1.35,-24.68,-6.71,-13.76,15.72,16.48,160.28
"Viet Nam","VNM",false,"2020-05","Other fossil",false,0.01,0.05,0.1,-0.16,-94.12,-0.76,-1.63,1.03,1.08,10.5
"Viet Nam","VNM",false,"2020-05","Solar",false,0.83,3.93,8.46,0.63,315,2.97,6.42,3.96,4.15,40.38
"Viet Nam","VNM",false,"2020-05","Total generation",true,21.12,100,215.34,0.26,1.25,0,2.65,95.38,100,972.48
