Date;Country;Region;Export;Import
10/2020;Ba Lan;EU;178,333.61;24,370.68
11/2020;Ba Lan;EU;148,810.93;27,809.44
12/2020;Ba Lan;EU;156,279.54;30,158.04
01/2021;Ba Lan;EU;174,838.79;33,674.39
02/2021;Ba Lan;EU;155,278.66;38,964.41
03/2021;Ba Lan;EU;210,491.21;29,202.19
04/2021;Ba Lan;EU;186,311.56;41,601.64
05/2021;Ba Lan;EU;195,777.71;37,874.39
06/2021;Ba Lan;EU;151,610.22;43,994.58
07/2021;Ba Lan;EU;167,485.95;32,827.84
08/2021;Ba Lan;EU;148,467.24;29,484.96
09/2021;Ba Lan;EU;158,996.93;62,547.27
10/2021;Ba Lan;EU;172,054.52;85,186.55
11/2021;Ba Lan;EU;158,802.41;39,959.32
12/2021;Ba Lan;EU;186,947.83;33,989.65
01/2022;Ba Lan;EU;208,855.55;23,307.20
02/2022;Ba Lan;EU;145,414.94;29,224.95
03/2022;Ba Lan;EU;204,727.93;20,378.04
04/2022;Ba Lan;EU;235,961.17;31,965.09
05/2022;Ba Lan;EU;219,375.95;23,635.56
06/2022;Ba Lan;EU;207,484.65;32,625.77
07/2022;Ba Lan;EU;196,167.31;30,901.33
08/2022;Ba Lan;EU;218,353.39;32,569.55
09/2022;Ba Lan;EU;180,509.14;28,357.56
10/2022;Ba Lan;EU;173,037.10;34,941.14
11/2022;Ba Lan;EU;132,094.06;35,382.92
12/2022;Ba Lan;EU;169,335.97;51,991.40
01/2023;Ba Lan;EU;128,925.17;31,141.69
02/2023;Ba Lan;EU;169,228.07;27,728.28
03/2023;Ba Lan;EU;218,277.31;29,329.09
04/2023;Ba Lan;EU;213,554.41;23,096.87
05/2023;Ba Lan;EU;232,862.30;29,709.97
06/2023;Ba Lan;EU;207,175.90;23,667.53
07/2023;Ba Lan;EU;185,251.97;30,406.01
08/2023;Ba Lan;EU;250,779.22;38,078.86
09/2023;Ba Lan;EU;205,948.98;27,292.90
10/2023;Ba Lan;EU;233,594.87;45,177.35
11/2023;Ba Lan;EU;205,076.15;34,512.09
12/2023;Ba Lan;EU;200,494.96;33,466.55
01/2024;Ba Lan;EU;253,063.73;26,585.53
02/2024;Ba Lan;EU;201,967.58;32,890.85
03/2024;Ba Lan;EU;240,862.20;37,679.93
04/2024;Ba Lan;EU;241,227.70;31,028.71
05/2024;Ba Lan;EU;258,609.64;29,420.21
06/2024;Ba Lan;EU;238,015.11;34,009.76
07/2024;Ba Lan;EU;261,890.70;40,238.27
08/2024;Ba Lan;EU;325,124.50;29,899.63
09/2024;Ba Lan;EU;256,546.49;30,425.10
10/2024;Ba Lan;EU;266,874.87;28,926.84
11/2024;Ba Lan;EU;256,636.37;29,497.50
12/2024;Ba Lan;EU;248,086.02;37,035.96
01/2025;Ba Lan;EU;244,170.52;33,771.86
02/2025;Ba Lan;EU;262,428.63;30,049.38
03/2025;Ba Lan;EU;331,460.49;31,871.18
04/2025;Ba Lan;EU;321,160.60;40,391.73
05/2025;Ba Lan;EU;283,892.44;32,907.59
06/2025;Ba Lan;EU;251,918.95;40,910.64
07/2025;Ba Lan;EU;281,688.84;44,533.89
08/2025;Ba Lan;EU;313,808.82;41,145.62
09/2025;Ba Lan;EU;288,875.21;43,554.28
10/2025;Ba Lan;EU;274,049.28;47,544.34
11/2025;Ba Lan;EU;280,332.49;36,656.53
01/2019;Bra-xin;Others;189,443.91;327,467.75
02/2019;Bra-xin;Others;102,126.12;256,650.33
03/2019;Bra-xin;Others;167,341.90;247,341.76
04/2019;Bra-xin;Others;173,846.35;175,343.58
05/2019;Bra-xin;Others;224,718.48;149,283.76
06/2019;Bra-xin;Others;180,279.33;182,062.00
07/2019;Bra-xin;Others;180,529.70;161,034.10
08/2019;Bra-xin;Others;216,111.20;190,242.85
09/2019;Bra-xin;Others;183,620.77;294,507.65
10/2019;Bra-xin;Others;204,600.15;273,269.16
11/2019;Bra-xin;Others;157,890.45;241,719.93
12/2019;Bra-xin;Others;167,083.07;248,574.30
01/2020;Bra-xin;Others;139,793.50;194,453.21
02/2020;Bra-xin;Others;192,860.81;201,834.95
03/2020;Bra-xin;Others;178,704.64;184,037.58
04/2020;Bra-xin;Others;89,698.29;167,112.12
05/2020;Bra-xin;Others;87,506.92;201,828.99
06/2020;Bra-xin;Others;98,942.88;249,489.88
07/2020;Bra-xin;Others;182,973.16;215,436.18
08/2020;Bra-xin;Others;198,967.70;283,543.85
09/2020;Bra-xin;Others;151,747.60;252,777.98
10/2020;Bra-xin;Others;179,906.67;312,975.39
11/2020;Bra-xin;Others;136,303.40;300,882.08
12/2020;Bra-xin;Others;188,845.22;342,897.27
01/2021;Bra-xin;Others;176,457.56;417,053.02
