entity,date,series,generation_TWh,IPI_Value,CPI_Value,GDP_trillion,Oil_Price,FDI_disbursed,FDI_registered,gas_price,castlecoal_price,castlecoal_vol,humidity,precipitation,solar,temperature,total_generation_TWh,month,year,time_idx,gen_lag_1,gen_lag_2,gen_lag_3,gen_lag_12,roll_mean_6,roll_std_6,yoy_change,precip_roll6,coal_ratio
Viet Nam,2023-11-01,Coal,9.93,162.42,100.25,10221.8,83.18,2.25,3.09,56.86,132.15,870.0,82.81720430107526,393.8,495.1566666666666,26.43440860215054,22.74,11,2023,58,10.54,9.12,8.13,9.66,11.303333333333333,2.420104680931525,0.02795030766559958,267.94444444444446,0.44435074012012055
Viet Nam,2023-12-01,Coal,10.28,162.61,100.12,10221.8,77.86,2.93,7.76,50.46,146.4,260.0,82.02222222222223,178.30000000000004,442.18,24.84777777777777,26.15,12,2023,59,9.93,10.54,9.12,8.2,10.585,1.9723361782414301,0.2536585056514018,273.3,0.4366754425384589
Viet Nam,2024-01-01,Coal,12.75,155.98,100.31,11511.9,80.23,1.48,2.363,66.7,116.5,630.0,76.59139784946237,146.3,402.5533333333333,23.316129032258065,23.35,1,2024,60,10.28,9.93,10.54,7.58,10.198333333333332,1.7079978532383102,0.6820579575121428,260.7555555555556,0.39311661976609485
Viet Nam,2024-02-01,Coal,14.48,128.3,101.04,11511.9,83.76,1.32,1.93,34.43,131.0,360.0,77.3978494623656,98.93333333333334,426.20666666666665,22.650537634408604,22.85,2,2024,61,12.75,10.28,9.93,8.89,10.125,1.5565956443469864,0.628796329719198,240.2611111111111,0.5460385205122689
Viet Nam,2024-03-01,Coal,12.76,155.5,99.77,11511.9,85.45,1.83,1.882,29.86,129.1,180.0,77.08045977011494,22.066666666666663,460.9,23.897701149425288,21.51,3,2024,62,14.48,12.75,10.28,11.56,11.183333333333332,2.0189370140414677,0.1038062193939256,194.59444444444446,0.6336980029016192
Viet Nam,2024-04-01,Coal,16.9,158.28,100.07,11511.9,90.05,1.65,3.099,35.18,142.25,350.0,77.11827956989247,54.76666666666666,539.8633333333333,25.504301075268817,26.15,4,2024,63,12.76,14.48,12.75,11.89,11.79,1.811121199699239,0.4213624540485739,149.02777777777777,0.5932124317427973
Viet Nam,2024-05-01,Coal,17.08,165.12,100.05,11511.9,82.0,1.97,1.801,46.65,142.4,150.0,74.54444444444444,15.966666666666669,623.7966666666667,29.302222222222223,27.38,5,2024,64,16.9,12.76,14.48,14.24,12.85,2.6156758208921858,0.19943818824170015,86.05555555555556,0.6462714858022376
Viet Nam,2024-06-01,Coal,12.37,168.38,100.17,11511.9,82.56,2.592,4.113,48.18,133.45,180.0,80.40860215053765,212.4333333333333,587.8233333333333,28.83978494623656,26.91,6,2024,65,17.08,16.9,12.76,12.6,14.041666666666666,2.6478248935053608,-0.018253966805240766,91.74444444444443,0.6238129794078532
Viet Nam,2024-07-01,Coal,10.06,169.53,100.48,11511.9,85.3,1.708,2.816,45.66,140.1,290.0,79.84444444444445,299.8666666666666,597.4033333333333,29.338888888888885,27.1,7,2024,66,12.37,17.08,16.9,13.19,14.389999999999999,2.1434178314085215,-0.23730096760417224,117.33888888888889,0.4596803991200149
Viet Nam,2024-08-01,Coal,9.17,171.15,100.0,11511.9,80.86,1.6,2.52,43.79,146.2,70.0,82.33333333333333,361.2333333333333,582.3633333333332,28.41182795698925,25.36,8,2024,67,10.06,12.37,17.08,8.13,13.941666666666665,2.7504357230567438,0.12792126347831928,161.05555555555554,0.3712176984790517
Viet Nam,2024-09-01,Coal,9.7,165.34,100.29,11511.9,74.29,3.15,4.256,45.52,145.1,130.0,80.13978494623656,217.2,656.1033333333334,29.055913978494623,26.67,9,2024,68,9.17,10.06,12.37,9.12,13.056666666666667,3.3347903482328043,0.06359648425477148,193.57777777777778,0.36159304567850764
Viet Nam,2024-10-01,Coal,10.72,171.97,100.33,11511.9,75.66,2.28,2.48,48.38,144.05,510.0,84.63333333333334,443.9666666666667,495.1033333333333,27.56777777777777,25.48,10,2024,69,9.7,9.17,10.06,10.54,12.546666666666667,3.6117235036290736,0.01707779724119585,258.4444444444444,0.3637045232956684
Viet Nam,2024-11-01,Coal,11.19,173.78,100.13,11511.9,74.4,2.1,4.12,42.34,141.5,10.0,81.26881720430107,317.2333333333333,511.3033333333333,25.935483870967744,28.59,11,2024,70,10.72,9.7,9.17,9.93,11.516666666666666,2.940834348729399,0.12688820474439025,308.6555555555555,0.4207221184959922
Viet Nam,2024-12-01,Coal,10.54,175.15,100.29,11511.9,73.83,3.67,6.85,63.12,125.25,180.0,76.63333333333334,185.66666666666663,462.9533333333334,25.284444444444446,26.91,12,2024,71,11.19,10.72,9.7,10.28,10.535,1.1503521200050026,0.02529182633347991,304.1944444444444,0.39139557917469114
Viet Nam,2019-01-01,Gas,4.12,134.05,100.1,7700.0,59.27,1.55,1.907,65.28,99.0,1140.0,,,,,17.87,1,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Viet Nam,2019-02-01,Gas,3.64,108.37,100.8,7700.0,64.13,1.03,6.564,51.16,96.05,880.0,78.63440860215053,107.36666666666666,401.01666666666665,22.087096774193544,18.89,2,2019,1,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538891967605374
Viet Nam,2019-03-01,Gas,3.49,134.77,99.79,7700.0,66.41,1.54,2.334,61.92,92.75,550.0,78.1904761904762,30.7,466.3366666666666,24.68095238095238,16.11,3,2019,2,3.64,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.5240867906783064
Viet Nam,2019-04-01,Gas,3.88,134.56,100.31,7700.0,71.2,1.58,3.786,55.59,87.3,680.0,78.40860215053765,33.86666666666666,522.16,25.594623655913978,20.0,4,2019,3,3.49,3.64,4.12,0.0,3.75,0.3290896534380865,0.0,57.31111111111111,0.5232774349300164
Viet Nam,2019-05-01,Gas,3.84,138.69,100.49,7700.0,70.53,1.6,2.146,58.06,83.4,140.0,78.15555555555557,109.03333333333336,570.5266666666666,28.31555555555555,20.86,5,2019,4,3.88,3.49,3.64,0.0,3.7825,0.2764507189355816,0.0,70.24166666666667,0.5299999735000013
Viet Nam,2019-06-01,Gas,3.84,134.1,99.91,7700.0,63.3,1.8,1.732,47.97,70.9,430.0,80.45161290322581,194.63333333333333,585.6966666666666,28.58924731182796,21.46,6,2019,5,3.84,3.88,3.49,0.0,3.7939999999999996,0.24079036525575506,0.0,95.12,0.5359539532140962
Viet Nam,2019-07-01,Gas,3.65,141.57,100.18,7700.0,64.0,1.45,1.75,49.69,69.45,1080.0,78.81111111111112,141.13333333333333,589.5933333333334,29.701111111111107,21.66,7,2019,6,3.84,3.84,3.88,0.0,3.8016666666666663,0.21618664775296978,0.0,102.78888888888889,0.4846225310054739
Viet Nam,2019-08-01,Gas,3.35,149.27,100.28,7700.0,59.25,1.41,2.409,48.86,65.75,130.0,80.26881720430107,225.0333333333333,578.4433333333333,29.026881720430108,20.97,8,2019,7,3.65,3.84,3.84,0.0,3.723333333333333,0.1539696939877018,0.0,122.39999999999999,0.4833794790683527
