entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature,time_idx,month_num,month,month_sin,month_cos,target_lag_1,target_lag_3,target_lag_6,target_lag_12,target_roll_mean_3,target_roll_std_3,target_roll_mean_6,target_roll_std_6,target_roll_mean_12,target_roll_std_12,sample_weight
Peru,PER,2025-07-01,Coal,0.0,2365.34,14.84842473,13.02763441,20.3280333,90,7,7,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-08-01,Coal,0.0,2590.29,16.63336559,12.9991129,20.9648179,91,8,8,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-09-01,Coal,0.0,3923.72,17.67227778,13.58207222,21.62368817,92,9,9,-1.0,-1.8369701987210297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-10-01,Coal,0.0,4863.68,18.12448387,13.98157527,21.70547867,93,10,10,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peru,PER,2025-11-01,Coal,0.01,6661.86,18.76238889,14.52961667,21.95643011,94,11,11,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004987562112089
Peru,PER,2019-01-01,Gas,1.53,8603.99,18.39808065,15.67043548,22.20040062,12,1,1,0.49999999999999994,0.8660254037844387,1.53,1.53,1.53,1.53,1.53,0.2899137802864845,1.53,0.2899137802864845,1.53,0.2899137802864845,1.5905973720586868
Peru,PER,2019-02-01,Gas,1.12,7469.64,18.28996429,16.41664286,22.78762097,13,2,2,0.8660254037844386,0.5000000000000001,1.53,1.53,1.53,1.53,1.53,0.2899137802864845,1.53,0.2899137802864845,1.53,0.2899137802864845,1.4560219778561037
Peru,PER,2019-03-01,Gas,1.27,7308.14,17.97828495,16.20453226,22.59692508,14,3,3,1.0,6.123233995736766e-17,1.12,1.53,1.53,1.53,1.3250000000000002,0.2899137802864845,1.3250000000000002,0.2899137802864845,1.3250000000000002,0.2899137802864845,1.5066519173319364
Peru,PER,2019-04-01,Gas,1.03,7427.82,17.59721667,15.71877222,22.18644086,15,4,4,0.8660254037844387,-0.4999999999999998,1.27,1.53,1.53,1.53,1.3066666666666666,0.20744477176668819,1.3066666666666666,0.20744477176668819,1.3066666666666666,0.20744477176668819,1.4247806848775009
Peru,PER,2019-05-01,Gas,1.42,6456.29,15.68733871,14.93716667,21.42366805,16,5,5,0.49999999999999994,-0.8660254037844387,1.03,1.12,1.53,1.53,1.14,0.12124355652982181,1.2375,0.21868927728629048,1.2375,0.21868927728629048,1.5556349186104046
Peru,PER,2019-06-01,Gas,1.93,5535.99,14.56508333,14.20531111,20.84490323,17,6,6,1.2246467991473532e-16,-1.0,1.42,1.27,1.53,1.53,1.24,0.19672315572906018,1.274,0.20622802913280242,1.274,0.20622802913280242,1.7117242768623688
Peru,PER,2019-07-01,Gas,2.08,4072.11,15.03476344,13.33423656,20.26332986,18,7,7,-0.4999999999999997,-0.8660254037844388,1.93,1.03,1.53,1.53,1.46,0.45133136385587036,1.3833333333333335,0.32518712561641583,1.3833333333333335,0.32518712561641583,1.7549928774784245
Peru,PER,2019-08-01,Gas,2.29,2761.76,16.36998387,12.63820968,20.49886576,19,8,8,-0.8660254037844385,-0.5000000000000004,2.08,1.42,1.12,1.53,1.8099999999999998,0.3459768778401241,1.4749999999999999,0.43408524508441876,1.4828571428571427,0.3968086980613489,1.8138357147217055
Peru,PER,2019-09-01,Gas,2.21,3882.8,17.37647778,13.49741111,21.43927957,20,9,9,-1.0,-1.8369701987210297e-16,2.29,1.93,1.27,1.53,2.1,0.1808314132002518,1.67,0.5004398065701806,1.58375,0.46518621463421955,1.7916472867168918
Peru,PER,2019-10-01,Gas,2.07,6224.89,18.31269892,13.7379086,21.17817378,21,10,10,-0.8660254037844386,0.5000000000000001,2.21,2.08,1.03,1.53,2.1933333333333334,0.10598742063723178,1.8266666666666669,0.4972993732819964,1.6533333333333333,0.4826230413065666,1.752141546793523
Peru,PER,2019-11-01,Gas,1.65,8046.52,18.15689444,14.79672222,21.60347849,22,11,11,-0.5000000000000004,0.8660254037844384,2.07,2.29,1.42,1.53,2.19,0.11135528725660133,1.9999999999999998,0.31009675909302836,1.6949999999999998,0.4737146351502721,1.6278820596099706
Peru,PER,2019-12-01,Gas,1.21,9536.49,18.27415054,15.4379086,21.83215401,23,12,12,-2.4492935982947064e-16,1.0,1.65,2.21,1.93,1.53,1.9766666666666666,0.2914332399252587,2.038333333333333,0.22719301632459205,1.6909090909090911,0.44960993195112003,1.4866068747318506
Peru,PER,2020-01-01,Gas,1.18,5586.92,19.41354839,15.94917204,22.53434443,24,1,1,0.49999999999999994,0.8660254037844387,1.21,2.07,2.08,1.53,1.6433333333333333,0.4300387579432034,1.918333333333333,0.4113595345517914,1.6508333333333332,0.4506048124129356,1.4764823060233399
Peru,PER,2020-02-01,Gas,1.17,6377.89,18.65262644,16.37313218,22.96426029,25,2,2,0.8660254037844386,0.5000000000000001,1.18,1.65,2.29,1.12,1.3466666666666667,0.263122278291544,1.7683333333333335,0.49600067204255543,1.6216666666666664,0.47004513000607095,1.4730919862656235
Peru,PER,2020-03-01,Gas,0.67,7649.15,18.55743548,16.38037634,22.89789282,26,3,3,1.0,6.123233995736766e-17,1.17,1.21,2.21,1.27,1.1866666666666665,0.020816659994642873,1.5816666666666668,0.4705068189374801,1.6258333333333335,0.4653924704108904,1.2922847983320085
Peru,PER,2020-04-01,Gas,0.1,6836.7,17.58906667,15.54901111,22.20472581,27,4,4,0.8660254037844387,-0.4999999999999998,0.67,1.18,2.07,1.03,1.0066666666666666,0.2916047553338806,1.325,0.4791555071164268,1.575833333333333,0.5342362149212025,1.0488088481701516
Peru,PER,2020-05-01,Gas,0.4,6702.98,15.40061828,14.68446774,21.32619667,28,5,5,0.49999999999999994,-0.8660254037844387,0.1,1.17,1.65,1.42,0.6466666666666666,0.5353814839283593,0.9966666666666666,0.5379095339057182,1.4983333333333333,0.6706554912015467,1.1832159566199232
Peru,PER,2020-06-01,Gas,1.36,7165.81,15.01763333,14.08776667,20.74122581,29,6,6,1.2246467991473532e-16,-1.0,0.4,0.67,1.21,1.93,0.38999999999999996,0.2851315485876626,0.7883333333333332,0.47233109855975713,1.413333333333333,0.7422978247348302,1.5362291495737217
Peru,PER,2020-07-01,Gas,1.85,4586.89,15.23403763,13.37625806,20.30637357,30,7,7,-0.4999999999999997,-0.8660254037844388,1.36,0.1,1.18,2.08,0.6200000000000001,0.6581793068761725,0.8133333333333334,0.5021420781677901,1.3658333333333335,0.7242483041475528,1.6881943016134133
Peru,PER,2020-08-01,Gas,2.1,2524.0,16.55589247,12.85166129,20.78295525,31,8,8,-0.8660254037844385,-0.5000000000000004,1.85,0.4,1.17,2.29,1.2033333333333334,0.7375861531599767,0.9250000000000002,0.6520966186080099,1.3466666666666667,0.7064550855353707,1.760681686165901
Peru,PER,2020-09-01,Gas,2.08,3812.43,17.17125556,13.44552222,21.2353871,32,9,9,-1.0,-1.8369701987210297e-16,2.1,1.36,0.67,2.21,1.7700000000000002,0.37643060449437377,1.08,0.8127238153271997,1.3308333333333333,0.6852001477117781,1.7549928774784245
Peru,PER,2020-10-01,Gas,2.09,4395.79,18.48285484,13.79303763,21.62247138,33,10,10,-0.8660254037844386,0.5000000000000001,2.08,1.85,0.1,2.07,2.0100000000000002,0.13892443989449754,1.3150000000000002,0.8721410436391582,1.32,0.6709152500333204,1.7578395831246945
Peru,PER,2020-11-01,Gas,2.33,4604.54,19.53999444,14.08266111,21.72426882,34,11,11,-0.5000000000000004,0.8660254037844384,2.09,2.1,0.4,1.65,2.0900000000000003,0.009999999999995806,1.6466666666666665,0.6734290361030377,1.3216666666666665,0.672969448628895,1.8248287590894658
Peru,PER,2020-12-01,Gas,1.58,7401.65,18.15202688,14.96295699,21.53364724,35,12,12,-2.4492935982947064e-16,1.0,2.33,2.08,1.36,1.21,2.1666666666666665,0.14153915830374744,1.968333333333333,0.33450959129248636,1.3783333333333332,0.7293936876030334,1.606237840420901
Peru,PER,2021-01-01,Gas,0.97,10555.260900000001,18.83015054,15.37523118,21.73068158,36,1,1,0.49999999999999994,0.8660254037844387,1.58,2.09,1.85,1.18,2.0,0.38301436004411105,2.0050000000000003,0.2577401792503442,1.4091666666666667,0.7294513297158641,1.40356688476182
Peru,PER,2021-02-01,Gas,1.04,7344.52,19.04819643,15.909875,22.36515553,37,2,2,0.8660254037844386,0.5000000000000001,0.97,2.33,2.1,1.17,1.6266666666666667,0.6811999217067874,1.8583333333333334,0.5000566634559191,1.3916666666666666,0.7379188589704442,1.42828568570857
Peru,PER,2021-03-01,Gas,1.24,9126.64,18.10405376,15.68382258,22.06202393,38,3,3,1.0,6.123233995736766e-17,1.04,1.58,2.08,0.67,1.1966666666666665,0.333816316757185,1.6816666666666669,0.5786680107511272,1.3808333333333334,0.7424095700467295,1.4966629547095767
Peru,PER,2021-04-01,Gas,0.93,7891.78,17.2271,15.09519444,21.54648387,39,4,4,0.8660254037844387,-0.4999999999999998,1.24,0.97,2.09,0.1,1.0833333333333333,0.14011899704655753,1.5416666666666667,0.5644613951960459,1.4283333333333335,0.7103370945394784,1.3892443989449805
Peru,PER,2021-05-01,Gas,1.68,5296.68,15.49667204,14.47844086,21.16957856,40,5,5,0.49999999999999994,-0.8660254037844387,0.93,1.04,2.33,0.4,1.07,0.15716233645501662,1.3483333333333334,0.5370816201162231,1.4975000000000003,0.601273270197957,1.63707055437449
Peru,PER,2021-06-01,Gas,2.05,5926.07,14.06832778,13.75016111,20.43524731,41,6,6,1.2246467991473532e-16,-1.0,1.68,1.24,1.58,1.36,1.2833333333333332,0.3768730997740927,1.24,0.32193166976860227,1.6041666666666667,0.4925897856936304,1.746424919657298
Peru,PER,2021-07-01,Gas,2.22,3274.0,14.95276344,12.93143548,20.24139958,42,7,7,-0.4999999999999997,-0.8660254037844388,2.05,0.93,0.97,1.85,1.5533333333333335,0.5706429122781894,1.3183333333333334,0.4520803763344157,1.6616666666666668,0.5016850394299978,1.794435844492636
Peru,PER,2021-08-01,Gas,2.37,3161.18,16.06260215,12.86771505,20.93924037,43,8,8,-0.8660254037844385,-0.5000000000000004,2.22,1.68,1.04,2.1,1.9833333333333332,0.27610384519838516,1.5266666666666666,0.5390980121152986,1.6925,0.5251341819867649,1.835755975068582
Peru,PER,2021-09-01,Gas,2.38,4064.48,17.60115556,13.29513889,21.28724194,44,9,9,-1.0,-1.8369701987210297e-16,2.37,2.05,1.24,2.08,2.2133333333333334,0.16010413278030616,1.748333333333333,0.5714338690230624,1.715,0.5494046364433541,1.8384776310850235
Peru,PER,2021-10-01,Gas,2.07,5742.51,18.63486022,13.75917742,21.53313736,45,10,10,-0.8660254037844386,0.5000000000000001,2.38,2.22,0.93,2.09,2.3233333333333337,0.089628864398328,1.9383333333333335,0.5579755072282887,1.74,0.5738070629179681,1.752141546793523
